2019-05-25 20:00:33 | DEBUG | 29366 | 5ce92e61a99eb | 1558785633.908 | worker(6) started.
2019-05-25 20:00:33 | DEBUG | 29366 | 5ce92e61a99eb | 1558785633.913 | worker(7) started.
2019-05-25 20:00:42 | INFO | 29401 | 5ce92e6a2a30b | 1558785642.205 | Service already running, main process number:29401
2019-05-25 20:00:42 | DEBUG | 29401 | 5ce92e6a2a30b | 1558785642.314 | task(8) started.
2019-05-25 20:00:42 | DEBUG | 29401 | 5ce92e6a2a30b | 1558785642.320 | worker(6) started.
2019-05-25 20:00:42 | DEBUG | 29401 | 5ce92e6a2a30b | 1558785642.324 | worker(7) started.
2019-05-25 20:00:42 | DEBUG | 29401 | 5ce92e6a2a30b | 1558785642.328 | worker(5) started.
2019-05-25 20:00:42 | DEBUG | 29401 | 5ce92e6a2a30b | 1558785642.332 | worker(2) started.
2019-05-25 20:00:42 | DEBUG | 29401 | 5ce92e6a2a30b | 1558785642.336 | task(13) started.
2019-05-25 20:00:42 | DEBUG | 29401 | 5ce92e6a2a30b | 1558785642.341 | task(14) started.
2019-05-25 20:00:42 | DEBUG | 29401 | 5ce92e6a2a30b | 1558785642.346 | task(10) started.
2019-05-25 20:00:42 | DEBUG | 29401 | 5ce92e6a2a30b | 1558785642.352 | task(11) started.
2019-05-25 20:00:42 | DEBUG | 29401 | 5ce92e6a2a30b | 1558785642.357 | task(15) started.
2019-05-25 20:00:42 | DEBUG | 29401 | 5ce92e6a2a30b | 1558785642.362 | worker(0) started.
2019-05-25 20:00:42 | DEBUG | 29401 | 5ce92e6a2a30b | 1558785642.367 | worker(1) started.
2019-05-25 20:00:42 | DEBUG | 29401 | 5ce92e6a2a30b | 1558785642.371 | worker(4) started.
2019-05-25 20:00:42 | DEBUG | 29401 | 5ce92e6a2a30b | 1558785642.374 | task(12) started.
2019-05-25 20:00:42 | DEBUG | 29401 | 5ce92e6a2a30b | 1558785642.379 | worker(3) started.
2019-05-25 20:00:42 | DEBUG | 29401 | 5ce92e6a2a30b | 1558785642.383 | task(9) started.
2019-05-25 20:01:07 | INFO | 29485 | 5ce92e83db93f | 1558785667.932 | Service already running, main process number:29485
2019-05-25 20:01:08 | DEBUG | 29485 | 5ce92e83db93f | 1558785668.42 | task(8) started.
2019-05-25 20:01:08 | DEBUG | 29485 | 5ce92e83db93f | 1558785668.47 | task(9) started.
2019-05-25 20:01:08 | DEBUG | 29485 | 5ce92e83db93f | 1558785668.53 | task(10) started.
2019-05-25 20:01:08 | DEBUG | 29485 | 5ce92e83db93f | 1558785668.59 | task(11) started.
2019-05-25 20:01:08 | DEBUG | 29485 | 5ce92e83db93f | 1558785668.64 | task(12) started.
2019-05-25 20:01:08 | DEBUG | 29485 | 5ce92e83db93f | 1558785668.70 | task(13) started.
2019-05-25 20:01:08 | DEBUG | 29485 | 5ce92e83db93f | 1558785668.75 | task(14) started.
2019-05-25 20:01:08 | DEBUG | 29485 | 5ce92e83db93f | 1558785668.81 | task(15) started.
2019-05-25 20:01:08 | DEBUG | 29485 | 5ce92e83db93f | 1558785668.87 | worker(0) started.
2019-05-25 20:01:08 | DEBUG | 29485 | 5ce92e83db93f | 1558785668.91 | worker(1) started.
2019-05-25 20:01:08 | DEBUG | 29485 | 5ce92e83db93f | 1558785668.95 | worker(2) started.
2019-05-25 20:01:08 | DEBUG | 29485 | 5ce92e83db93f | 1558785668.99 | worker(3) started.
2019-05-25 20:01:08 | DEBUG | 29485 | 5ce92e83db93f | 1558785668.103 | worker(4) started.
2019-05-25 20:01:08 | DEBUG | 29485 | 5ce92e83db93f | 1558785668.106 | worker(5) started.
2019-05-25 20:01:08 | DEBUG | 29485 | 5ce92e83db93f | 1558785668.111 | worker(6) started.
2019-05-25 20:01:08 | DEBUG | 29485 | 5ce92e83db93f | 1558785668.115 | worker(7) started.
2019-05-25 20:01:13 | INFO | 29529 | 5ce92e899f90e | 1558785673.687 | Service already running, main process number:29529
2019-05-25 20:01:13 | DEBUG | 29529 | 5ce92e899f90e | 1558785673.800 | task(8) started.
2019-05-25 20:01:13 | DEBUG | 29529 | 5ce92e899f90e | 1558785673.806 | task(9) started.
2019-05-25 20:01:13 | DEBUG | 29529 | 5ce92e899f90e | 1558785673.811 | task(10) started.
2019-05-25 20:01:13 | DEBUG | 29529 | 5ce92e899f90e | 1558785673.817 | task(11) started.
2019-05-25 20:01:13 | DEBUG | 29529 | 5ce92e899f90e | 1558785673.822 | task(12) started.
2019-05-25 20:01:13 | DEBUG | 29529 | 5ce92e899f90e | 1558785673.828 | task(13) started.
2019-05-25 20:01:13 | DEBUG | 29529 | 5ce92e899f90e | 1558785673.834 | task(14) started.
2019-05-25 20:01:13 | DEBUG | 29529 | 5ce92e899f90e | 1558785673.839 | task(15) started.
2019-05-25 20:01:13 | DEBUG | 29529 | 5ce92e899f90e | 1558785673.845 | worker(0) started.
2019-05-25 20:01:13 | DEBUG | 29529 | 5ce92e899f90e | 1558785673.849 | worker(1) started.
2019-05-25 20:01:13 | DEBUG | 29529 | 5ce92e899f90e | 1558785673.852 | worker(5) started.
2019-05-25 20:01:13 | DEBUG | 29529 | 5ce92e899f90e | 1558785673.856 | worker(7) started.
2019-05-25 20:01:13 | DEBUG | 29529 | 5ce92e899f90e | 1558785673.860 | worker(6) started.
2019-05-25 20:01:13 | DEBUG | 29529 | 5ce92e899f90e | 1558785673.864 | worker(2) started.
2019-05-25 20:01:13 | DEBUG | 29529 | 5ce92e899f90e | 1558785673.867 | worker(4) started.
2019-05-25 20:01:13 | DEBUG | 29529 | 5ce92e899f90e | 1558785673.871 | worker(3) started.
